Feature,Type
rsfmri_cor_ngd_df_scs_crcxrh,Rest
rsfmri_cor_ngd_df_scs_hplh,Rest
rsfmri_cor_ngd_df_scs_hprh,Rest
rsfmri_cor_ngd_df_scs_pllh,Rest
rsfmri_cor_ngd_df_scs_plrh,Rest
rsfmri_cor_ngd_df_scs_ptlh,Rest
rsfmri_cor_ngd_df_scs_ptrh,Rest
rsfmri_cor_ngd_df_scs_thplh,Rest
rsfmri_cor_ngd_df_scs_thprh,Rest
rsfmri_cor_ngd_df_scs_vtdclh,Rest
rsfmri_cor_ngd_df_scs_vtdcrh,Rest
rsfmri_cor_ngd_dsa_scs_aalh,Rest
rsfmri_cor_ngd_dsa_scs_aarh,Rest
rsfmri_cor_ngd_dsa_scs_aglh,Rest
rsfmri_cor_ngd_dsa_scs_agrh,Rest
rsfmri_cor_ngd_dsa_scs_bs,Rest
rsfmri_cor_ngd_dsa_scs_cdelh,Rest
rsfmri_cor_ngd_dsa_scs_cderh,Rest
rsfmri_cor_ngd_dsa_scs_crcxlh,Rest
rsfmri_cor_ngd_dsa_scs_crcxrh,Rest
rsfmri_cor_ngd_dsa_scs_hplh,Rest
rsfmri_cor_ngd_dsa_scs_hprh,Rest
rsfmri_cor_ngd_dsa_scs_pllh,Rest
rsfmri_cor_ngd_dsa_scs_plrh,Rest
rsfmri_cor_ngd_dsa_scs_ptlh,Rest
rsfmri_cor_ngd_dsa_scs_ptrh,Rest
rsfmri_cor_ngd_dsa_scs_thplh,Rest
rsfmri_cor_ngd_dsa_scs_thprh,Rest
rsfmri_cor_ngd_dsa_scs_vtdclh,Rest
rsfmri_cor_ngd_dsa_scs_vtdcrh,Rest
rsfmri_cor_ngd_fopa_scs_aalh,Rest
rsfmri_cor_ngd_fopa_scs_aarh,Rest
rsfmri_cor_ngd_fopa_scs_aglh,Rest
rsfmri_cor_ngd_fopa_scs_agrh,Rest
rsfmri_cor_ngd_fopa_scs_bs,Rest
rsfmri_cor_ngd_fopa_scs_cdelh,Rest
rsfmri_cor_ngd_fopa_scs_cderh,Rest
rsfmri_cor_ngd_fopa_scs_crcxlh,Rest
rsfmri_cor_ngd_fopa_scs_crcxrh,Rest
rsfmri_cor_ngd_fopa_scs_hplh,Rest
rsfmri_cor_ngd_fopa_scs_hprh,Rest
rsfmri_cor_ngd_fopa_scs_pllh,Rest
rsfmri_cor_ngd_fopa_scs_plrh,Rest
rsfmri_cor_ngd_fopa_scs_ptlh,Rest
rsfmri_cor_ngd_fopa_scs_ptrh,Rest
rsfmri_cor_ngd_fopa_scs_thplh,Rest
rsfmri_cor_ngd_fopa_scs_thprh,Rest
rsfmri_cor_ngd_fopa_scs_vtdclh,Rest
rsfmri_cor_ngd_fopa_scs_vtdcrh,Rest
rsfmri_cor_ngd_none_scs_aalh,Rest
rsfmri_cor_ngd_none_scs_aarh,Rest
rsfmri_cor_ngd_none_scs_aglh,Rest
rsfmri_cor_ngd_none_scs_agrh,Rest
rsfmri_cor_ngd_none_scs_bs,Rest
rsfmri_cor_ngd_none_scs_cdelh,Rest
rsfmri_cor_ngd_none_scs_cderh,Rest
rsfmri_cor_ngd_none_scs_crcxlh,Rest
rsfmri_cor_ngd_none_scs_crcxrh,Rest
rsfmri_cor_ngd_none_scs_hplh,Rest
rsfmri_cor_ngd_none_scs_hprh,Rest
rsfmri_cor_ngd_none_scs_pllh,Rest
rsfmri_cor_ngd_none_scs_plrh,Rest
rsfmri_cor_ngd_none_scs_ptlh,Rest
rsfmri_cor_ngd_none_scs_ptrh,Rest
rsfmri_cor_ngd_none_scs_thplh,Rest
rsfmri_cor_ngd_none_scs_thprh,Rest
rsfmri_cor_ngd_none_scs_vtdclh,Rest
rsfmri_cor_ngd_none_scs_vtdcrh,Rest
rsfmri_cor_ngd_rst_scs_aalh,Rest
rsfmri_cor_ngd_rst_scs_aarh,Rest
rsfmri_cor_ngd_rst_scs_aglh,Rest
rsfmri_cor_ngd_rst_scs_agrh,Rest
rsfmri_cor_ngd_rst_scs_bs,Rest
rsfmri_cor_ngd_rst_scs_cdelh,Rest
rsfmri_cor_ngd_rst_scs_cderh,Rest
rsfmri_cor_ngd_rst_scs_crcxlh,Rest
rsfmri_cor_ngd_rst_scs_crcxrh,Rest
rsfmri_cor_ngd_rst_scs_hplh,Rest
rsfmri_cor_ngd_rst_scs_hprh,Rest
rsfmri_cor_ngd_rst_scs_pllh,Rest
rsfmri_cor_ngd_rst_scs_plrh,Rest
rsfmri_cor_ngd_rst_scs_ptlh,Rest
rsfmri_cor_ngd_rst_scs_ptrh,Rest
rsfmri_cor_ngd_rst_scs_thplh,Rest
rsfmri_cor_ngd_rst_scs_thprh,Rest
rsfmri_cor_ngd_rst_scs_vtdclh,Rest
rsfmri_cor_ngd_rst_scs_vtdcrh,Rest
rsfmri_cor_ngd_sa_scs_aalh,Rest
rsfmri_cor_ngd_sa_scs_aarh,Rest
rsfmri_cor_ngd_sa_scs_aglh,Rest
rsfmri_cor_ngd_sa_scs_agrh,Rest
rsfmri_cor_ngd_sa_scs_bs,Rest
rsfmri_cor_ngd_sa_scs_cdelh,Rest
rsfmri_cor_ngd_sa_scs_cderh,Rest
rsfmri_cor_ngd_sa_scs_crcxlh,Rest
rsfmri_cor_ngd_sa_scs_crcxrh,Rest
rsfmri_cor_ngd_sa_scs_hplh,Rest
rsfmri_cor_ngd_sa_scs_hprh,Rest
rsfmri_cor_ngd_sa_scs_pllh,Rest
rsfmri_cor_ngd_sa_scs_plrh,Rest
rsfmri_cor_ngd_sa_scs_ptlh,Rest
rsfmri_cor_ngd_sa_scs_ptrh,Rest
rsfmri_cor_ngd_sa_scs_thplh,Rest
rsfmri_cor_ngd_sa_scs_thprh,Rest
rsfmri_cor_ngd_sa_scs_vtdclh,Rest
rsfmri_cor_ngd_sa_scs_vtdcrh,Rest
rsfmri_cor_ngd_smh_scs_aalh,Rest
rsfmri_cor_ngd_smh_scs_aarh,Rest
rsfmri_cor_ngd_smh_scs_aglh,Rest
rsfmri_cor_ngd_smh_scs_agrh,Rest
rsfmri_cor_ngd_smh_scs_bs,Rest
rsfmri_cor_ngd_smh_scs_cdelh,Rest
rsfmri_cor_ngd_smh_scs_cderh,Rest
rsfmri_cor_ngd_smh_scs_crcxlh,Rest
rsfmri_cor_ngd_smh_scs_crcxrh,Rest
rsfmri_cor_ngd_smh_scs_hplh,Rest
rsfmri_cor_ngd_smh_scs_hprh,Rest
rsfmri_cor_ngd_smh_scs_pllh,Rest
rsfmri_cor_ngd_smh_scs_plrh,Rest
rsfmri_cor_ngd_smh_scs_ptlh,Rest
rsfmri_cor_ngd_smh_scs_ptrh,Rest
